orderid,brand_name,product_name,sales_ammount,sales_date
0000001,Apple,Macbook512,95112.1,2019-06-16
0000002,Nokia,Nk500,68576.48,2018-10-21
0000003,Samsung,galaxy13,58410.1,2019-03-08
0000004,Samsung,watch340,94.75,2019-05-03
0000005,Nokia,Nk320,89689.15,2020-04-01
0000006,Apple,IpadMax,81318.92,2019-09-11
0000007,Samsung,watch320,29637.17,2018-08-29
0000008,Samsung,watch340,96803.09,2018-08-28
0000009,Apple,iphoneSE,36827.93,2018-06-25
0000010,Nokia,Nk320,36607.32,2019-08-13
0000011,Apple,IpadMax,51536.0,2020-01-07
0000012,Samsung,galaxy10,38504.54,2019-09-15
0000013,Nokia,Nk320,40956.58,2019-07-19
0000014,Apple,Macbook512,98081.96,2018-05-27
0000015,Nokia,Nk320,49085.59,2019-06-17
0000016,Nokia,Nk500,52166.65,2019-04-07
0000017,Nokia,Nk400,57517.34,2019-08-22
0000018,Nokia,Nk320,82555.88,2018-12-23
0000019,Nokia,Nk400,49293.9,2019-02-22
0000020,Samsung,watch340,13275.79,2019-11-25
0000021,Samsung,watch320,25344.46,2020-04-15
0000022,Apple,Macbook512,52056.38,2020-02-03
0000023,Samsung,galaxy11,24578.79,2019-12-27
0000024,Nokia,Nk320,49414.37,2019-11-24
0000025,Apple,iphone12,41944.71,2020-04-22
0000026,Apple,Macbook512,20396.6,2018-07-13
0000027,Apple,laptop256,93001.03,2019-04-18
0000028,Nokia,Nk320,65618.08,2019-11-27
0000029,Samsung,galaxy11,47712.44,2019-05-26
0000030,Samsung,watch320,90486.44,2019-10-18
0000031,Apple,IpadMax,1689.03,2019-02-14
0000032,Apple,iphon11,22588.79,2018-11-29
0000033,Apple,iphon11,6641.65,2019-07-09
0000034,Apple,laptop256,73095.65,2019-10-14
0000035,Samsung,galaxy11,85496.54,2020-03-07
0000036,Apple,iphon11,31577.13,2020-02-12
0000037,Samsung,galaxy10,91920.3,2019-05-31
0000038,Apple,IpadMax,70227.31,2020-03-16
0000039,Apple,laptop256,49242.25,2018-07-25
0000040,Samsung,galaxy13,33265.27,2018-10-12
0000041,Nokia,Nk320,23935.48,2019-08-30
0000042,Apple,laptop256,7929.38,2018-12-29
0000043,Apple,laptop256,9425.55,2019-12-07
0000044,Samsung,galaxy12,24460.42,2019-12-26
0000045,Nokia,Nk400,65273.32,2018-10-30
0000046,Apple,iphoneSE,58773.11,2018-12-26
0000047,Nokia,Nk400,22078.62,2018-11-22
0000048,Samsung,watch340,69145.75,2019-01-31
0000049,Samsung,watch320,18391.99,2019-04-12
0000050,Nokia,Nk400,57573.19,2019-06-15
0000051,Nokia,Nk320,45505.0,2020-03-17
0000052,Apple,IpadMini,52299.4,2019-10-30
0000053,Samsung,galaxy13,23270.88,2019-05-09
0000054,Apple,iphoneSE,85127.64,2019-07-25
0000055,Samsung,galaxy10,70439.1,2018-05-26
0000056,Nokia,Nk500,28761.7,2018-12-08
0000057,Samsung,galaxy12,12180.17,2019-01-25
0000058,Nokia,Nk320,26115.45,2019-07-06
0000059,Nokia,Nk500,15014.23,2020-02-16
0000060,Samsung,watch340,17792.82,2019-09-04
0000061,Apple,Macbook512,14982.72,2019-07-24
0000062,Samsung,galaxy10,9712.86,2020-01-21
0000063,Samsung,watch340,57105.77,2019-07-01
0000064,Samsung,watch320,48707.19,2018-08-07
0000065,Nokia,Nk400,44926.5,2018-05-14
0000066,Apple,iphoneSE,22547.11,2019-12-09
0000067,Samsung,galaxy13,14568.69,2019-06-23
0000068,Apple,Macbook512,20115.1,2019-01-11
0000069,Apple,IpadMini,74110.96,2019-06-11
0000070,Apple,iphone13,19276.82,2018-11-18
0000071,Samsung,watch320,82064.76,2019-04-06
0000072,Apple,iphone13,22893.56,2018-06-14
0000073,Apple,IpadMini,84784.41,2018-12-11
0000074,Apple,iphoneSE,22640.61,2019-09-25
0000075,Samsung,watch320,72768.12,2018-09-06
0000076,Nokia,Nk500,1185.8,2019-04-03
0000077,Nokia,Nk320,39176.34,2018-07-07
0000078,Samsung,watch340,4266.2,2019-07-05
0000079,Samsung,watch340,60229.92,2019-07-05
0000080,Apple,Macbook512,36222.63,2019-05-19
0000081,Samsung,galaxy13,40355.45,2018-12-02
